bgt_type,linestring,x_min,y_max,x_max,y_min
tram,"[[119750.505, 485142.677], [119747.975, 485141.292]]",119747.975,485142.677,119750.505,485141.292
tram,"[[119752.276, 485139.635], [119754.222, 485140.764], [119756.156, 485141.914]]",119752.276,485141.914,119756.156,485139.635
tram,"[[119752.147, 485143.629], [119760.172, 485148.415]]",119752.147,485148.415,119760.172,485143.629
tram,"[[119775.163, 485152.932], [119783.128, 485157.075], [119791.214, 485160.978]]",119775.163,485160.978,119791.214,485152.932
tram,"[[119675.723, 485112.031], [119674.477, 485111.502]]",119674.477,485112.031,119675.723,485111.502
tram,"[[119731.629, 485133.95], [119728.122, 485132.558]]",119728.122,485133.95,119731.629,485132.558
tram,"[[119694.515, 485119.717], [119692.647, 485119.002], [119690.782, 485118.282]]",119690.782,485119.717,119694.515,485118.282
tram,"[[120128.909, 485309.872], [120124.589, 485307.814], [119831.246, 485182.816], [119827.276, 485180.907]]",119827.276,485309.872,120128.909,485180.907
tram,"[[119669.514, 485109.392], [119509.134, 485048.151], [119488.788, 485040.035], [119419.294, 485010.691]]",119419.294,485109.392,119669.514,485010.691
tram,"[[119743.764, 485135.319], [119744.131, 485135.483], [119747.738, 485137.212]]",119743.764,485137.212,119747.738,485135.319
tram,"[[119743.764, 485135.319], [119742.0026616, 485134.5314335], [119740.2366405, 485133.7544242], [119738.466, 485132.988], [119736.1618178, 485132.0093888], [119733.8501047, 485131.0487028], [119731.531, 485130.106], [119516.17, 485047.876], [119494.015, 485039.244], [119462.609, 485025.986], [119457.618, 485023.668]]",119457.618,485135.319,119743.764,485023.668
tram,"[[119817.44, 485172.338], [119819.88, 485173.461], [119822.289, 485174.649]]",119817.44,485174.649,119822.289,485172.338
tram,"[[119830.915, 485179.194], [119832.241, 485179.894], [119833.573, 485180.584]]",119830.915,485180.584,119833.573,485179.194
tram,"[[119677.63, 485112.843], [119675.723, 485112.031]]",119675.723,485112.843,119677.63,485112.031
tram,"[[119746.202, 485140.379], [119742.681, 485138.69], [119739.116, 485137.096]]",119739.116,485140.379,119746.202,485137.096
tram,"[[119798.13, 485164.084], [119799.967, 485164.875], [119801.806, 485165.66]]",119798.13,485165.66,119801.806,485164.084
tram,"[[119796.74, 485167.318], [119788.807, 485163.739]]",119788.807,485167.318,119796.74,485163.739
tram,"[[119761.95, 485145.377], [119763.667, 485146.402], [119765.388, 485147.421]]",119761.95,485147.421,119765.388,485145.377
tram,"[[119810.787, 485173.314], [119801.588, 485169.393]]",119801.588,485173.314,119810.787,485169.393
tram,"[[119818.626, 485176.759], [119815.153, 485175.185]]",119815.153,485176.759,119818.626,485175.185
tram,"[[119801.806, 485165.66], [119804.009, 485166.599]]",119801.806,485166.599,119804.009,485165.66
tram,"[[119801.588, 485169.393], [119800.438, 485168.903]]",119800.438,485169.393,119801.588,485168.903
tram,"[[119772.782, 485155.646], [119763.593, 485150.449]]",119763.593,485155.646,119772.782,485150.449
tram,"[[119827.276, 485180.907], [119825.303, 485179.959]]",119825.303,485180.907,119827.276,485179.959
tram,"[[119669.514, 485109.392], [119674.477, 485111.502]]",119669.514,485111.502,119674.477,485109.392
tram,"[[119833.573, 485180.584], [119834.614, 485181.097]]",119833.573,485181.097,119834.614,485180.584
tram,"[[119686.858, 485116.722], [119684.008, 485115.548]]",119684.008,485116.722,119686.858,485115.548
tram,"[[119714.847, 485127.48], [119698.031, 485121.059]]",119698.031,485127.48,119714.847,485121.059
tram,"[[119698.031, 485121.059], [119694.515, 485119.717]]",119694.515,485121.059,119698.031,485119.717
tram,"[[119747.738, 485137.212], [119749.194, 485137.957]]",119747.738,485137.957,119749.194,485137.212
tram,"[[119690.782, 485118.282], [119686.858, 485116.722]]",119686.858,485118.282,119690.782,485116.722
tram,"[[119822.289, 485174.649], [119823.621, 485175.339], [119824.948, 485176.038]]",119822.289,485176.038,119824.948,485174.649
tram,"[[119791.214, 485160.978], [119798.13, 485164.084]]",119791.214,485164.084,119798.13,485160.978
tram,"[[119728.122, 485132.558], [119726.267, 485131.841], [119724.41, 485131.131]]",119724.41,485132.558,119728.122,485131.131
