bgt_type,polygon,x_min,y_max,x_max,y_min
pand,"[[119333.055, 485295.7], [119336.621, 485286.805], [119326.857, 485282.891], [119327.356, 485281.647], [119322.159, 485279.563], [119321.995, 485279.972], [119317.199, 485277.739], [119315.65, 485281.309], [119311.709, 485279.689], [119311.34, 485279.88], [119306.416, 485291.476], [119321.713, 485297.946], [119324.817, 485299.259], [119325.788, 485296.966], [119325.18, 485296.709], [119326.71, 485293.106], [119333.055, 485295.7]]",119306.416,485299.259,119336.621,485277.739
pand,"[[119335.724, 485206.339], [119338.546, 485199.693], [119323.011, 485193.061], [119322.995, 485193.098], [119322.847, 485193.447], [119322.033, 485194.128], [119321.325, 485195.737], [119321.433, 485196.736], [119320.215, 485199.664], [119320.196, 485199.709], [119335.724, 485206.339]]",119320.196,485206.339,119338.546,485193.061
pand,"[[119324.941, 485238.632], [119327.814, 485231.834], [119326.536, 485231.286], [119329.35, 485224.63], [119312.16, 485217.41], [119311.984, 485217.829], [119310.543, 485221.262], [119310.209, 485222.059], [119311.789, 485222.719], [119310.939, 485224.716], [119309.988, 485226.95], [119307.979, 485231.67], [119309.655, 485232.368], [119311.1, 485232.969], [119311.181, 485232.779], [119324.941, 485238.632]]",119307.979,485238.632,119329.35,485217.41
pand,"[[119335.616, 485206.593], [119335.724, 485206.339], [119320.196, 485199.709], [119319.027, 485202.521], [119319.01, 485202.561], [119318.185, 485203.183], [119317.492, 485204.883], [119317.596, 485205.861], [119317.33, 485206.509], [119329.63, 485211.759], [119332.84, 485213.131], [119335.616, 485206.593]]",119317.33,485213.131,119335.724,485199.709
pand,"[[119338.539, 485221.969], [119340.797, 485216.453], [119337.107, 485214.943], [119332.84, 485213.131], [119329.63, 485211.759], [119327.33, 485217.39], [119336.688, 485221.213], [119338.539, 485221.969]]",119327.33,485221.969,119340.797,485211.759
pand,"[[119340.797, 485216.453], [119343.539, 485209.749], [119340.841, 485208.645], [119339.85, 485208.239], [119337.107, 485214.943], [119340.797, 485216.453]]",119337.107,485216.453,119343.539,485208.239
pand,"[[119344.613, 485304.346], [119351.039, 485289.095], [119344.903, 485286.507], [119338.511, 485301.773], [119341.865, 485303.188], [119341.655, 485303.685], [119344.405, 485304.845], [119344.613, 485304.346]]",119338.511,485304.845,119351.039,485286.507
pand,"[[119604.054, 485194.295], [119610.067, 485181.976], [119603.789, 485179.319], [119598.27, 485191.15], [119601.81, 485192.699], [119601.59, 485193.209], [119604.054, 485194.295]]",119598.27,485194.295,119610.067,485179.319
pand,"[[119596.162, 485154.399], [119602.162, 485140.806], [119599.169, 485139.516], [119598.198, 485141.696], [119595.064, 485140.362], [119590.082, 485151.823], [119596.162, 485154.399]]",119590.082,485154.399,119602.162,485139.516
pand,"[[119623.725, 485150.304], [119626.699, 485144.275], [119612.627, 485138.37], [119611.44, 485141.421], [119614.062, 485147.399], [119616.14, 485148.172], [119617.318, 485148.61], [119618.452, 485148.068], [119623.725, 485150.304]]",119611.44,485150.304,119626.699,485138.37
