Type,X,Y
afvalbak,119316.789,485117.781
afvalbak,119331.305,485146.25
afvalbak,119877.351,485287.531
afvalbak,119897.484,485295.781
bank,119318.203,485119.5
bank,119330.375,485148.063
bank,119337.734,485132.281
bank,119313.813,485114.813
bank,119878.695,485286.063
bank,119876.984,485289.531
bank,119897.767,485293.844
bank,119896.281,485297.469
